scenario_id,state,channel,product,product_type,credit_band,dealer_tier,system_kw,battery_attach,annual_kwh,project_cost,dealer_fee_pct,funding_cost_pct,loss_reserve_pct,customer_monthly_payment,rate_card,npv,irr_pct,contribution_margin_bps,margin_gap_bps,competitor_gap_bps,approval_lift_pts,readiness_score,qa_defects,priority_score,customer_savings_year_1,recommendation
SCN-097,NJ,Dealer partner,Prepaid lease,Lease,Prime,Regional,10.968,No,13134,30559.59,0.038,0.055,0.014,0,"$1448/kW prepaid, 3.8% dealer fee",-707.68,0.039,-159.795,-674.865,-13.282,20.439,54.224,2,145.177,2048.95,Raise rate or reduce dealer incentive
SCN-098,NJ,Installer platform,Prepaid lease,Lease,Super prime,National,12.126,No,15330,37535.5,0.02,0.049,0.007,0,"$1706/kW prepaid, 2.0% dealer fee",1630.76,0.081,322.311,-254.344,24.713,32.281,69.373,3,70.391,2391.62,Raise rate or reduce dealer incentive
SCN-099,NJ,New homes,Prepaid lease,Lease,Prime,Regional,8.942,No,11009,24359.26,0.044,0.054,0.014,0,"$1680/kW prepaid, 4.4% dealer fee",2812.42,0.193,1384.392,807.696,-14.298,23.267,91.988,4,32.8,1717.52,Expand into next operating review
SCN-100,NJ,Direct homeowner,Prepaid lease,Lease,Super prime,Regional,10.83,Yes,13100,42103.55,0.043,0.052,0.007,0,"$2383/kW prepaid, 4.3% dealer fee",416.39,0.065,131.685,-317.354,-14.423,29.404,67.654,1,66.088,2043.65,Raise rate or reduce dealer incentive
SCN-101,NY,Dealer partner,Solar loan,Loan,Super prime,Regional,10.97,Yes,13010,38263.9,0.087,0.053,0.007,332.92,"8.43% APR, 8.7% dealer fee",6896.11,0.07,105.834,-381.612,229.398,32.685,62.687,3,149.095,-612.27,Raise rate or reduce dealer incentive
SCN-102,NY,Installer platform,Solar loan,Loan,Near prime,Emerging,12.497,Yes,14966,43096.7,0.103,0.067,0.027,395.09,"8.88% APR, 10.3% dealer fee",-5756.63,0.053,-418.534,-1049.729,109.548,5.642,47.17,5,244.796,-849.85,Raise rate or reduce dealer incentive
SCN-103,NY,New homes,Solar loan,Loan,Super prime,Regional,11.741,No,14352,41163.33,0.085,0.051,0.007,336.92,"7.73% APR, 8.5% dealer fee",4554.6,0.061,38.151,-407.442,49.839,32.482,60.024,8,134.33,-311.3,Raise rate or reduce dealer incentive
SCN-104,NY,Direct homeowner,Solar loan,Loan,Near prime,National,9.948,No,12264,34993.69,0.089,0.062,0.027,315.15,"8.82% APR, 8.9% dealer fee",-3674.99,0.05,-382.207,-1117.316,-51.581,6.96,48.963,6,227.904,-592.95,Raise rate or reduce dealer incentive
SCN-105,NY,Dealer partner,Solar plus storage loan,Loan,Super prime,National,6.991,Yes,7860,22175.79,0.129,0.052,0.007,189.49,"7.77% APR, 12.9% dealer fee",-615.92,0.049,-98.509,-653.897,112.101,32.24,57.101,4,172.937,-230.1,Raise rate or reduce dealer incentive
SCN-106,NY,Installer platform,Solar plus storage loan,Loan,Super prime,Emerging,12.685,Yes,15357,39927.68,0.147,0.048,0.007,333.8,"7.34% APR, 14.7% dealer fee",6463.34,0.063,86.272,-431.077,89.084,30.604,61.679,10,144.841,-12.7,Raise rate or reduce dealer incentive
SCN-107,NY,New homes,Solar plus storage loan,Loan,Near prime,Regional,6.395,Yes,7408,23307.56,0.113,0.061,0.027,222.38,"9.27% APR, 11.3% dealer fee",-2957.82,0.047,-406.544,-1169.058,196.651,5.355,43.949,6,299.091,-742.36,Raise rate or reduce dealer incentive
SCN-108,NY,Direct homeowner,Solar plus storage loan,Loan,Prime,Regional,9.794,Yes,11206,33947.44,0.145,0.053,0.014,331.02,"9.18% APR, 14.5% dealer fee",7559.32,0.075,77.413,-470.419,244.406,22.206,58.299,4,167.855,-1058.5,Raise rate or reduce dealer incentive
SCN-109,NY,Dealer partner,Operating lease,Lease,Super prime,Emerging,7.648,No,8747,25756.19,0.067,0.052,0.007,282.61,"$283/mo, 0.00% escalator",20942.8,0.145,899.188,380.31,-7.459,31.442,83.33,9,45.0,-1117.0,Hold launch until pricing QA clears
SCN-110,NY,Installer platform,Operating lease,Lease,Super prime,National,10.932,No,13660,37275.82,0.053,0.044,0.007,348.66,"$349/mo, 2.99% escalator",53015.68,0.164,1174.423,628.268,-10.359,29.612,90.689,3,21.4,-632.33,Expand into next operating review
SCN-111,NY,New homes,Operating lease,Lease,Prime,National,10.087,Yes,12650,33349.28,0.069,0.049,0.014,413.08,"$413/mo, 0.00% escalator",37428.4,0.17,1157.589,515.285,13.671,20.046,80.433,5,39.481,-1667.9,Expand into next operating review
SCN-112,NY,Direct homeowner,Operating lease,Lease,Prime,National,7.847,Yes,9598,25588.91,0.044,0.048,0.014,307.69,"$308/mo, 2.99% escalator",45784.9,0.197,1445.2,799.835,20.481,23.057,93.941,3,23.115,-1196.61,Expand into next operating review
SCN-113,NY,Dealer partner,Levelized PPA,PPA,Prime,Regional,12.128,Yes,15198,43230.45,0.082,0.053,0.014,252.07,"$0.199/kWh, 0.00% escalator",2122.06,0.059,13.787,-510.963,-3.145,23.61,55.283,4,124.8,926.65,Raise rate or reduce dealer incentive
SCN-114,NY,Installer platform,Levelized PPA,PPA,Super prime,National,7.327,No,8708,19958.2,0.086,0.047,0.007,135.89,"$0.187/kWh, 3.50% escalator",13237.13,0.105,556.913,27.757,-5.33,30.755,74.488,5,28.2,633.42,Expand into next operating review
SCN-115,NY,New homes,Levelized PPA,PPA,Prime,Emerging,11.601,No,13766,36335.39,0.099,0.053,0.014,227.27,"$0.198/kWh, 3.50% escalator",18422.69,0.1,422.986,-88.857,24.403,19.342,63.355,8,74.254,852.02,Raise rate or reduce dealer incentive
SCN-116,NY,Direct homeowner,Levelized PPA,PPA,Super prime,Emerging,12.234,Yes,14484,41340.7,0.078,0.047,0.007,209.23,"$0.173/kWh, 2.99% escalator",11762.22,0.076,260.098,-300.922,34.62,32.809,67.461,9,99.142,1255.32,Raise rate or reduce dealer incentive
SCN-117,NY,Dealer partner,Prepaid lease,Lease,Prime,National,8.018,Yes,9348,28685.76,0.045,0.048,0.014,0,"$1941/kW prepaid, 4.5% dealer fee",-137.65,0.045,-35.937,-571.574,9.531,20.462,52.277,4,139.49,1895.81,Raise rate or reduce dealer incentive
SCN-118,NY,Installer platform,Prepaid lease,Lease,Super prime,Emerging,11.09,No,12898,38044.72,0.062,0.049,0.007,0,"$2115/kW prepaid, 6.2% dealer fee",4082.16,0.175,1257.745,751.726,-4.029,33.359,95.692,3,21.4,2615.77,Expand into next operating review
SCN-119,NY,New homes,Prepaid lease,Lease,Prime,Regional,7.372,No,9034,23429.8,0.035,0.05,0.014,0,"$1970/kW prepaid, 3.5% dealer fee",2861.8,0.197,1469.018,865.69,19.951,23.032,91.373,4,37.588,1832.26,Expand into next operating review
SCN-120,NY,Direct homeowner,Prepaid lease,Lease,Near prime,National,12.582,No,14913,38142.5,0.031,0.062,0.027,0,"$1874/kW prepaid, 3.1% dealer fee",5465.75,0.241,1787.851,1056.271,18.251,4.12,87.77,6,32.78,3024.39,Expand into next operating review
SCN-121,CO,Dealer partner,Solar loan,Loan,Near prime,National,7.19,No,10992,24873.76,0.114,0.067,0.027,255.72,"10.20% APR, 11.4% dealer fee",-1422.91,0.061,-332.52,-1064.633,90.347,4.218,44.652,7,254.838,-1419.82,Raise rate or reduce dealer incentive
SCN-122,CO,Installer platform,Solar loan,Loan,Prime,Emerging,11.748,No,18274,33047.99,0.095,0.049,0.014,275.5,"7.84% APR, 9.5% dealer fee",2437.45,0.056,-68.215,-682.653,120.68,23.709,54.078,5,182.518,-564.8,Raise rate or reduce dealer incentive
SCN-123,CO,New homes,Solar loan,Loan,Prime,Emerging,6.67,No,9469,20679.94,0.129,0.052,0.014,179.88,"7.98% APR, 12.9% dealer fee",168.03,0.053,-131.807,-759.943,147.911,21.703,50.135,4,209.568,-738.11,Raise rate or reduce dealer incentive
SCN-124,CO,Direct homeowner,Solar loan,Loan,Super prime,Regional,9.431,No,14936,25740.01,0.112,0.05,0.007,211.69,"7.51% APR, 11.2% dealer fee",1978.55,0.058,5.95,-481.548,169.949,33.333,61.983,7,158.65,-299.8,Raise rate or reduce dealer incentive
SCN-125,CO,Dealer partner,Solar plus storage loan,Loan,Prime,National,11.637,Yes,17116,38384.49,0.112,0.055,0.014,370.27,"9.41% APR, 11.2% dealer fee",6950.35,0.073,38.993,-594.204,42.576,25.137,53.437,6,156.797,-1875.76,Raise rate or reduce dealer incentive
SCN-126,CO,Installer platform,Solar plus storage loan,Loan,Super prime,Emerging,7.888,Yes,12050,27697.55,0.113,0.054,0.007,238.42,"8.02% APR, 11.3% dealer fee",1078.3,0.058,-30.437,-463.398,32.221,28.572,59.248,3,114.753,-1053.48,Raise rate or reduce dealer incentive
SCN-127,CO,New homes,Solar plus storage loan,Loan,Near prime,National,10.944,Yes,15824,34319.51,0.104,0.06,0.027,347.95,"10.14% APR, 10.4% dealer fee",1820.23,0.066,-215.553,-885.003,141.941,4.974,43.109,6,241.268,-1801.8,Raise rate or reduce dealer incentive
SCN-128,CO,Direct homeowner,Solar plus storage loan,Loan,Prime,Regional,6.869,Yes,10258,22393.45,0.115,0.058,0.014,196.93,"8.25% APR, 11.5% dealer fee",-1618.87,0.05,-216.472,-731.443,164.544,23.67,55.301,8,206.75,-824.38,Raise rate or reduce dealer incentive
SCN-129,CO,Dealer partner,Operating lease,Lease,Prime,Emerging,6.813,No,10080,19177.1,0.069,0.058,0.014,235.85,"$236/mo, 0.00% escalator",17254.88,0.162,996.497,368.896,5.298,19.616,77.366,2,22.471,-1318.22,Expand into next operating review
SCN-130,CO,Installer platform,Operating lease,Lease,Near prime,National,8.914,Yes,13800,29109.79,0.053,0.066,0.027,271.69,"$272/mo, 0.00% escalator",9393.96,0.109,339.758,-376.74,-4.08,6.132,52.23,2,96.071,-1190.15,Raise rate or reduce dealer incentive
SCN-131,CO,New homes,Operating lease,Lease,Near prime,Emerging,11.938,Yes,17311,41455.0,0.062,0.069,0.027,437.96,"$438/mo, 3.50% escalator",47704.28,0.181,1029.76,303.263,9.853,2.331,66.423,5,43.584,-2658.83,Monitor in weekly pricing digest
SCN-132,CO,Direct homeowner,Operating lease,Lease,Prime,Emerging,8.598,Yes,12855,27777.12,0.071,0.054,0.014,343.76,"$344/mo, 0.00% escalator",26560.78,0.161,1023.09,424.515,11.231,20.544,81.781,3,20.895,-2196.75,Expand into next operating review
SCN-133,CO,Dealer partner,Levelized PPA,PPA,Near prime,Regional,9.217,No,14384,30369.39,0.06,0.063,0.027,131.22,"$0.109/kWh, 3.50% escalator",-4003.33,0.047,-252.549,-970.87,34.377,1.84,43.653,6,223.902,583.03,Raise rate or reduce dealer incentive
SCN-134,CO,Installer platform,Levelized PPA,PPA,Prime,Regional,12.665,No,18889,42251.19,0.067,0.058,0.014,187.7,"$0.119/kWh, 0.00% escalator",-10523.16,0.021,-418.771,-938.777,17.425,25.049,54.64,2,188.01,581.06,Raise rate or reduce dealer incentive
SCN-135,CO,New homes,Levelized PPA,PPA,Prime,Regional,6.962,No,10753,21458.2,0.08,0.055,0.014,89.54,"$0.100/kWh, 2.99% escalator",-3457.59,0.036,-236.408,-862.616,24.01,19.899,49.378,6,203.741,538.47,Raise rate or reduce dealer incentive
SCN-136,CO,Direct homeowner,Levelized PPA,PPA,Prime,Emerging,11.1,No,16978,31788.36,0.096,0.056,0.014,136.32,"$0.096/kWh, 0.00% escalator",-8891.3,0.016,-450.101,-1089.074,25.732,22.844,54.954,5,220.768,910.9,Raise rate or reduce dealer incentive
SCN-137,CO,Dealer partner,Prepaid lease,Lease,Near prime,National,7.371,No,10961,20773.56,0.022,0.064,0.027,0,"$1470/kW prepaid, 2.2% dealer fee",-1572.28,0.004,-605.969,-1319.459,0.067,2.576,43.962,8,277.964,1282.51,Raise rate or reduce dealer incentive
SCN-138,CO,Installer platform,Prepaid lease,Lease,Super prime,Regional,8.945,No,13193,24444.86,0.03,0.046,0.007,0,"$1370/kW prepaid, 3.0% dealer fee",-1190.11,0.016,-304.867,-767.633,6.957,32.183,57.637,5,165.618,1543.65,Raise rate or reduce dealer incentive
SCN-139,CO,New homes,Prepaid lease,Lease,Prime,National,12.215,No,19197,36491.3,0.049,0.052,0.014,0,"$1497/kW prepaid, 4.9% dealer fee",-1557.62,0.025,-271.25,-800.127,19.539,18.958,48.982,5,189.625,2246.16,Raise rate or reduce dealer incentive
SCN-140,CO,Direct homeowner,Prepaid lease,Lease,Super prime,Regional,8.389,Yes,12172,25829.39,0.055,0.05,0.007,0,"$1770/kW prepaid, 5.5% dealer fee",-1064.54,0.007,-428.285,-897.082,16.628,31.99,58.796,0,167.408,1424.21,Raise rate or reduce dealer incentive
SCN-141,NV,Dealer partner,Solar loan,Loan,Prime,Regional,8.808,No,15781,27097.82,0.108,0.049,0.014,241.6,"8.49% APR, 10.8% dealer fee",3230.68,0.061,-24.712,-606.571,-39.754,23.605,48.554,1,135.953,-532.01,Raise rate or reduce dealer incentive
SCN-142,NV,Installer platform,Solar loan,Loan,Prime,Emerging,8.469,No,15240,27367.56,0.114,0.05,0.014,251.99,"8.82% APR, 11.4% dealer fee",5207.76,0.068,41.918,-487.231,219.334,25.46,53.039,8,186.062,-737.73,Raise rate or reduce dealer incentive
SCN-143,NV,New homes,Solar loan,Loan,Super prime,Regional,6.86,No,11591,23737.36,0.099,0.049,0.007,191.1,"7.40% APR, 9.9% dealer fee",332.53,0.05,-56.139,-573.765,6.093,29.223,49.116,5,150.06,-554.51,Raise rate or reduce dealer incentive
SCN-144,NV,Direct homeowner,Solar loan,Loan,Prime,National,10.204,No,18470,34925.8,0.085,0.053,0.014,296.64,"8.16% APR, 8.5% dealer fee",2236.69,0.06,-76.223,-587.692,184.498,21.336,50.081,7,189.837,-789.04,Raise rate or reduce dealer incentive
SCN-145,NV,Dealer partner,Solar plus storage loan,Loan,Super prime,Regional,11.039,Yes,19102,36340.25,0.125,0.049,0.007,328.41,"8.47% APR, 12.5% dealer fee",9469.36,0.074,177.459,-351.943,30.752,30.624,57.726,6,111.338,-1075.5,Raise rate or reduce dealer incentive
SCN-146,NV,Installer platform,Solar plus storage loan,Loan,Prime,National,7.565,Yes,12374,29101.08,0.115,0.053,0.014,265.43,"8.69% APR, 11.5% dealer fee",2287.87,0.061,-61.81,-708.899,165.08,20.343,48.424,8,212.661,-1329.01,Raise rate or reduce dealer incentive
SCN-147,NV,New homes,Solar plus storage loan,Loan,Near prime,Regional,8.529,Yes,14758,32504.05,0.126,0.064,0.027,333.29,"10.02% APR, 12.6% dealer fee",-525.25,0.062,-287.253,-938.098,234.235,4.036,38.475,5,272.685,-1785.67,Raise rate or reduce dealer incentive
SCN-148,NV,Direct homeowner,Solar plus storage loan,Loan,Super prime,National,9.985,Yes,16353,31702.57,0.127,0.044,0.007,286.15,"8.44% APR, 12.7% dealer fee",8543.49,0.069,178.776,-289.963,221.667,32.537,62.731,3,126.136,-980.76,Raise rate or reduce dealer incentive
SCN-149,NV,Dealer partner,Operating lease,Lease,Prime,Regional,11.615,Yes,19981,42089.06,0.057,0.055,0.014,440.64,"$441/mo, 0.00% escalator",32267.7,0.145,853.158,264.569,-12.607,19.547,70.199,2,22.821,-2290.45,Monitor in weekly pricing digest
SCN-150,NV,Installer platform,Operating lease,Lease,Prime,Regional,9.645,No,17266,25937.64,0.068,0.05,0.014,276.75,"$277/mo, 2.99% escalator",35421.15,0.167,1118.052,560.866,30.107,20.128,79.913,4,32.026,-731.08,Expand into next operating review
SCN-151,NV,New homes,Operating lease,Lease,Prime,Regional,8.285,No,14201,23109.22,0.074,0.051,0.014,237.93,"$238/mo, 2.99% escalator",28985.97,0.158,1029.541,474.694,-3.788,22.384,75.367,4,32.8,-724.9,Expand into next operating review
SCN-152,NV,Direct homeowner,Operating lease,Lease,Prime,Regional,9.834,No,16177,32314.97,0.052,0.058,0.014,334.3,"$334/mo, 0.00% escalator",23291.31,0.145,821.498,299.699,16.382,25.391,76.109,5,28.932,-1584.98,Expand into next operating review
SCN-153,NV,Dealer partner,Levelized PPA,PPA,Near prime,National,6.422,No,10762,19999.04,0.059,0.061,0.027,100.29,"$0.112/kWh, 0.00% escalator",-4800.84,0.024,-458.748,-1088.792,-14.157,6.658,41.437,5,233.114,410.85,Raise rate or reduce dealer incentive
SCN-154,NV,Installer platform,Levelized PPA,PPA,Super prime,Regional,6.903,Yes,12480,22743.1,0.097,0.052,0.007,121.12,"$0.116/kWh, 2.99% escalator",453.41,0.054,-3.692,-555.664,7.8,30.712,53.344,5,135.769,418.7,Raise rate or reduce dealer incentive
SCN-155,NV,New homes,Levelized PPA,PPA,Near prime,Regional,6.264,No,10285,17999.67,0.059,0.066,0.027,98.09,"$0.114/kWh, 0.00% escalator",-6027.76,0.011,-640.28,-1409.989,-6.819,4.993,38.877,4,288.209,365.72,Raise rate or reduce dealer incentive
SCN-156,NV,Direct homeowner,Levelized PPA,PPA,Prime,Regional,9.774,Yes,17714,33856.81,0.082,0.053,0.014,164.7,"$0.112/kWh, 0.00% escalator",-9031.94,0.015,-430.682,-1060.998,8.786,24.095,51.24,0,198.552,680.75,Raise rate or reduce dealer incentive
SCN-157,NV,Dealer partner,Prepaid lease,Lease,Super prime,National,10.035,No,17300,32125.95,0.025,0.049,0.007,0,"$1984/kW prepaid, 2.5% dealer fee",2127.11,0.134,844.018,322.056,-7.926,29.457,75.958,6,34.8,2024.13,Expand into next operating review
SCN-158,NV,Installer platform,Prepaid lease,Lease,Near prime,National,9.497,No,16036,32428.22,0.037,0.066,0.027,0,"$1935/kW prepaid, 3.7% dealer fee",-809.5,0.041,-248.517,-962.838,7.192,5.909,42.362,6,214.054,1876.23,Raise rate or reduce dealer incentive
SCN-159,NV,New homes,Prepaid lease,Lease,Super prime,Regional,10.484,Yes,18652,39130.19,0.036,0.051,0.007,0,"$2288/kW prepaid, 3.6% dealer fee",781.18,0.077,258.64,-304.805,17.351,29.862,56.855,1,89.163,2182.35,Raise rate or reduce dealer incentive
SCN-160,NV,Direct homeowner,Prepaid lease,Lease,Near prime,Regional,10.074,No,17766,30448.58,0.028,0.059,0.027,0,"$1883/kW prepaid, 2.8% dealer fee",1305.33,0.121,619.716,-151.35,-16.524,5.339,55.158,2,54.174,2078.66,Raise rate or reduce dealer incentive
